,t,ax,ay,az,wx,wy,wz
0,0.0,0.012562,-0.074177,9.987043,-0.002748,0.00565,0.010384
1,0.00125,-0.016749,-0.075373,9.941579,0.001832,0.00565,0.012522
2,0.0025,-0.028713,-0.096909,9.975079,0.001679,0.007024,0.014813
3,0.00375,0.025124,-0.041276,9.93799,0.000458,0.005345,0.014813
4,0.005,0.0,-0.065802,9.957133,-0.00061,0.007177,0.013133
5,0.00625,0.002392,-0.065204,9.961918,0.000916,0.00565,0.016493
6,0.0075,0.029312,-0.066999,9.971489,0.000152,0.005192,0.015271
7,0.00875,0.002392,-0.05324,9.970891,0.001374,0.005497,0.012522
8,0.01,0.002991,-0.058025,9.955338,-0.001679,0.003054,0.011759
9,0.01125,0.005383,-0.030508,9.95115,-0.000458,0.006872,0.013133
10,0.0125,-0.028115,-0.042472,9.982257,0.000305,0.005345,0.014202
11,0.01375,0.010767,-0.107677,9.924231,0.000916,0.004734,0.01237
12,0.015,0.005982,-0.055034,9.948758,0.000305,0.008093,0.016035
13,0.01625,0.003589,-0.037686,9.971489,-0.003512,0.006872,0.01298
14,0.0175,-0.010767,-0.091525,9.996016,0.00229,0.004734,0.014966
15,0.01875,0.0,-0.068195,10.006185,0.000916,0.004428,0.012064
16,0.02,-0.016151,-0.079561,9.980463,0.0,0.005497,0.013439
17,0.02125,0.014356,-0.056231,9.996614,0.000458,0.005803,0.012064
18,0.0225,-0.004785,-0.071186,9.979864,-0.001679,0.006872,0.01237
19,0.02375,0.047856,-0.078364,9.972088,-0.001374,0.00565,0.014813
20,0.025,0.009571,-0.061615,9.970293,0.00229,0.005039,0.013897
21,0.02625,-0.041874,-0.087338,9.923035,-0.00229,0.006719,0.011759
22,0.0275,-0.014356,-0.055633,9.972686,0.001069,0.006566,0.01298
23,0.02875,0.025124,-0.064008,9.987641,-0.001679,0.005039,0.011453
24,0.03,0.031106,-0.072382,9.966704,-0.001374,0.007177,0.013133
25,0.03125,-0.010767,-0.092123,9.957133,-0.002138,0.003817,0.014813
26,0.0325,0.01974,-0.074177,9.982257,-0.003359,0.007177,0.013897
27,0.03375,0.014955,-0.092123,9.97807,0.000152,0.003817,0.016646
28,0.035,0.032901,-0.078963,9.957133,-0.00229,0.007941,0.013744
29,0.03625,0.004785,-0.034695,9.952945,0.000152,0.003512,0.018173
30,0.0375,-0.000598,-0.090329,9.978668,-0.001221,0.006414,0.01298
31,0.03875,0.018544,-0.0664,9.951749,-0.001679,0.005497,0.011453
32,0.04,0.018544,-0.105882,9.960722,0.000152,0.006261,0.011301
33,0.04125,0.0,-0.058624,9.988239,0.001374,0.006261,0.012675
34,0.0425,0.007178,-0.078364,9.95115,-0.00061,0.006261,0.013133
35,0.043750000000000004,0.001196,-0.084346,9.956534,0.00229,0.005497,0.013897
36,0.045,0.017347,-0.073579,9.975677,-0.001374,0.00733,0.013897
37,0.04625,-0.01316,-0.078963,9.976873,0.000458,0.004428,0.014049
38,0.0475,-0.030508,-0.071186,9.982257,0.000458,0.005803,0.014966
39,0.04875,0.007776,-0.071784,9.971489,-0.001374,0.00565,0.012675
40,0.05,0.034695,-0.092721,9.960124,-0.000305,0.008093,0.012675
41,0.051250000000000004,0.014955,-0.057427,9.966106,-0.003054,0.004276,0.010995
42,0.0525,0.020338,-0.065802,9.958329,0.000152,0.00733,0.013439
43,0.05375,0.022133,-0.087936,9.959525,-0.00229,0.004734,0.014049
44,0.055,0.01316,-0.061615,9.970293,0.000916,0.00565,0.015577
45,0.05625,-0.009571,-0.049651,9.966704,-0.001832,0.007024,0.009162
46,0.0575,-0.016749,-0.079561,9.949356,0.000458,0.005192,0.013744
47,0.058750000000000004,0.026321,-0.089132,9.969695,-0.00061,0.006872,0.009621
48,0.06,-0.008374,-0.061016,9.969695,-0.001679,0.004123,0.014508
49,0.06125,0.014356,-0.044267,9.976275,0.000458,0.005497,0.016951
50,0.0625,0.009571,-0.075972,9.969695,0.001374,0.005955,0.015118
51,0.06375,-0.028713,-0.074177,9.966106,-0.001069,0.005039,0.015729
52,0.065,0.000598,-0.05324,9.948159,-0.001985,0.005192,0.012675
53,0.06625,0.030508,-0.11665,9.94457,-0.002443,0.006261,0.016187
54,0.0675,-0.014955,-0.075972,9.987043,0.001069,0.006108,0.010995
55,0.06875,-0.003589,-0.068195,9.969695,0.001679,0.008093,0.014049
56,0.07,0.004187,-0.081355,9.967302,0.000305,0.005497,0.011606
57,0.07125000000000001,0.020338,-0.071186,9.974481,-0.000152,0.005497,0.013133
58,0.0725,0.004785,-0.11306,9.960124,-0.001374,0.006108,0.013133
59,0.07375,0.017347,-0.064008,10.003194,-0.000152,0.009315,0.014508
60,0.075,-0.015553,-0.077766,9.965507,0.001985,0.007788,0.015729
61,0.07625,-0.003589,-0.064606,9.982257,-0.00061,0.004734,0.011453
62,0.0775,0.007776,-0.056231,9.952945,-0.00061,0.006108,0.015118
63,0.07875,-0.022133,-0.074177,9.989436,0.000458,0.006872,0.011759
64,0.08,-0.012562,-0.026321,9.99123,-0.001374,0.005345,0.013133
65,0.08125,0.007776,-0.081954,9.945767,-0.000916,0.005955,0.013133
66,0.0825,-0.001794,-0.045463,9.952945,-0.001221,0.006261,0.011453
67,0.08375,0.02333,-0.052642,9.948758,-0.000916,0.005955,0.014049
68,0.085,-0.025722,-0.071784,9.964311,-0.000763,0.004276,0.011453
69,0.08625000000000001,-0.018544,-0.049052,9.966106,-0.000152,0.007635,0.014202
70,0.08750000000000001,-0.008973,-0.03649,9.979864,-0.001374,0.008399,0.00901
71,0.08875,0.003589,-0.065204,9.975677,0.000916,0.005497,0.013286
72,0.09,0.016749,-0.059222,9.965507,0.0,0.004276,0.013286
73,0.09125,-0.010767,-0.05324,10.003793,0.001679,0.005803,0.013439
74,0.0925,0.014356,-0.068195,9.979864,-0.001069,0.006719,0.01069
75,0.09375,-0.025722,-0.066999,9.987641,0.000916,0.004734,0.014355
76,0.095,0.010767,-0.055633,9.942177,-0.000763,0.005345,0.016035
77,0.09625,-0.000598,-0.091525,9.984052,-0.000152,0.004581,0.014813
78,0.0975,0.014955,-0.061016,9.957133,-0.000916,0.005497,0.013591
79,0.09875,-0.005982,-0.08315,9.95474,-0.00061,0.007024,0.012522
80,0.1,-0.012562,-0.086141,9.984052,0.001069,0.007483,0.012064
81,0.10125,-0.040677,-0.063409,9.964311,0.001527,0.006414,0.01237
82,0.10250000000000001,0.008374,-0.067597,10.000802,0.0,0.005497,0.015882
83,0.10375000000000001,0.012562,-0.049651,9.972088,-0.000152,0.005039,0.013286
84,0.105,0.018544,-0.101096,9.976275,0.000152,0.00565,0.01298
85,0.10625,0.035294,-0.075373,9.958927,-0.001527,0.006261,0.013897
86,0.1075,-0.00658,-0.109471,9.978668,-0.003207,0.006414,0.013744
87,0.10875,0.032303,-0.074775,9.971489,-0.002443,0.005497,0.014049
88,0.11,0.013758,-0.079561,9.985248,-0.001069,0.007024,0.013286
89,0.11125,0.004187,-0.063409,9.963713,-0.000152,0.006872,0.012217
90,0.1125,-0.003589,-0.105882,9.973882,0.00061,0.005955,0.01237
91,0.11375,-0.013758,-0.069391,9.965507,-0.002901,0.005497,0.012828
92,0.115,0.019142,-0.055034,9.985248,0.001527,0.005955,0.015118
93,0.11625,-0.017347,-0.099302,10.023533,-0.000152,0.00733,0.013439
94,0.11750000000000001,0.025722,-0.081355,9.956534,-0.000763,0.005039,0.013133
95,0.11875000000000001,-0.027517,-0.098105,10.006185,0.000458,0.006719,0.011453
96,0.12,0.004785,-0.052642,9.942177,-0.001527,0.005955,0.01298
97,0.12125,-0.005982,-0.032303,9.972686,-0.001069,0.00565,0.013591
98,0.1225,0.032303,-0.090927,9.964909,0.000152,0.006108,0.014049
99,0.12375,-0.000598,-0.050847,9.934999,0.000152,0.008093,0.016493
100,0.125,-0.008374,-0.047856,9.977472,-0.001679,0.006108,0.013744
101,0.12625,0.001794,-0.025124,9.965507,-0.000916,0.006414,0.013744
102,0.1275,0.032901,-0.070588,9.948758,-0.000305,0.007177,0.011606
103,0.12875,-0.002392,-0.084346,9.969097,0.000458,0.005345,0.015271
104,0.13,0.010169,-0.095114,9.957133,-0.001832,0.003359,0.014966
105,0.13125,0.035892,-0.094516,9.953543,0.001374,0.007483,0.014813
106,0.1325,-0.030508,-0.05324,9.980463,-0.000305,0.006872,0.010842
107,0.13375,-0.004187,-0.044865,9.973882,0.003207,0.00565,0.010384
108,0.135,0.046061,-0.065802,9.964311,-0.00061,0.006261,0.013133
109,0.13625,-0.029312,-0.028713,9.965507,0.001221,0.007788,0.014049
110,0.1375,-0.003589,-0.062811,9.985248,-0.001527,0.005955,0.016493
111,0.13875,-0.008374,-0.024526,9.979864,0.000916,0.006108,0.011453
112,0.14,0.022133,-0.057427,9.942776,-0.000763,0.008399,0.013133
113,0.14125000000000001,-0.014356,-0.075373,9.973284,-0.003665,0.00565,0.015271
114,0.14250000000000002,0.02991,-0.073579,9.943972,-0.001374,0.003207,0.012675
115,0.14375000000000002,-0.008973,-0.059222,9.968498,-0.000152,0.007024,0.013744
116,0.145,0.017347,-0.096311,9.967302,-0.002596,0.006719,0.012217
117,0.14625,0.002991,-0.031106,9.979266,0.00061,0.006108,0.01298
118,0.1475,-0.008973,-0.060418,9.951749,-0.000152,0.005345,0.016035
119,0.14875,-0.002991,-0.038285,9.996016,-0.001374,0.006872,0.012522
120,0.15,-0.016151,-0.071784,9.971489,-0.00061,0.005039,0.016035
121,0.15125,0.011964,-0.075373,9.971489,0.00229,0.005039,0.011759
122,0.1525,-0.008973,-0.05324,9.96132,-0.001679,0.007177,0.01237
123,0.15375,0.024526,-0.043669,9.952945,-0.000305,0.005192,0.013744
124,0.155,-0.00658,-0.044865,9.978668,-0.001221,0.005039,0.012522
125,0.15625,0.008973,-0.075373,9.988239,0.000152,0.007941,0.014355
126,0.1575,-0.014356,-0.084346,9.975677,0.0,0.006108,0.015424
127,0.15875,-0.037088,-0.072382,9.981659,-0.000305,0.005803,0.012675
128,0.16,0.046061,-0.047856,9.943972,0.000763,0.004428,0.012828
129,0.16125,-0.031704,-0.065802,9.949954,-0.000152,0.006872,0.010995
130,0.1625,-0.005982,-0.070588,9.969097,0.001374,0.006566,0.013897
131,0.16375,-0.02333,-0.094516,9.960124,-0.001221,0.006414,0.010537
132,0.165,-0.002392,-0.056231,9.966704,0.0,0.005955,0.012522
133,0.16625,0.020338,-0.052043,9.967302,-0.001221,0.006872,0.013133
134,0.1675,-0.005982,-0.084346,9.981061,-0.001832,0.005345,0.014049
135,0.16875,0.030508,-0.058624,9.988239,0.001527,0.005345,0.013133
136,0.17,-0.015553,-0.086141,9.939785,0.000458,0.005955,0.009773
137,0.17125,0.017347,-0.024526,9.951749,-0.001527,0.006261,0.012675
138,0.17250000000000001,0.023928,-0.061016,9.969097,0.000916,0.006261,0.014508
139,0.17375000000000002,-0.011964,-0.063409,9.978668,-0.000763,0.006566,0.013133
140,0.17500000000000002,0.002991,-0.058025,9.967302,-0.001069,0.005803,0.013286
141,0.17625,-0.026321,-0.087338,9.946365,0.003054,0.004581,0.014508
142,0.1775,-0.02333,-0.061016,9.95474,-0.001527,0.006566,0.010384
143,0.17875,-0.02333,-0.05982,9.988239,-0.001374,0.005345,0.014049
144,0.18,-0.02991,-0.047856,9.973882,0.000152,0.006108,0.012064
145,0.18125,-0.002392,-0.065802,9.959525,-0.00061,0.004886,0.011453
146,0.1825,0.005982,-0.060418,9.984052,-0.001832,0.006414,0.009773
147,0.18375,0.010767,-0.080757,9.955936,-0.000305,0.004581,0.015882
148,0.185,0.013758,-0.032303,9.95474,0.00061,0.006261,0.014966
149,0.18625,0.007776,-0.058025,9.956534,-0.002138,0.005345,0.012522
150,0.1875,0.008973,-0.097507,9.963115,-0.002138,0.00397,0.012675
151,0.18875,-0.018544,-0.07657,9.947561,0.001221,0.005955,0.016187
152,0.19,0.026321,-0.0664,9.974481,-0.000152,0.002748,0.014813
153,0.19125,0.016151,-0.08973,9.945168,0.000305,0.007483,0.014049
154,0.1925,0.025722,-0.080757,9.962516,0.000152,0.003207,0.013133
155,0.19375,0.039481,-0.102293,9.970891,-0.000305,0.004428,0.012217
156,0.195,0.016749,-0.058624,9.956534,-0.001221,0.006261,0.010995
157,0.19625,-0.052043,-0.078963,9.962516,-0.00061,0.008246,0.012217
158,0.1975,-0.014955,-0.068195,9.982855,0.0,0.005955,0.015271
159,0.19875,0.003589,-0.067597,9.96132,-0.000305,0.005192,0.013591
160,0.2,-0.029312,-0.049052,9.939186,-0.00061,0.005497,0.013591
161,0.20125,-0.024526,-0.061016,9.995418,-0.001374,0.004428,0.013133
162,0.2025,0.004187,-0.075972,9.949356,0.002443,0.007024,0.010384
163,0.20375000000000001,-0.02333,-0.077168,9.987641,0.001527,0.004428,0.012064
164,0.20500000000000002,-0.009571,-0.090927,9.95115,0.000916,0.005497,0.01298
165,0.20625000000000002,0.009571,-0.044267,9.969097,-0.001221,0.004734,0.011759
166,0.20750000000000002,0.01974,-0.059222,9.969695,0.000458,0.007941,0.012675
167,0.20875,-0.022133,-0.097507,9.982855,-0.001374,0.004276,0.013133
168,0.21,0.030508,-0.047856,9.973882,0.001374,0.006566,0.013133
169,0.21125,-0.02991,-0.092123,9.968498,-0.00061,0.007788,0.010537
170,0.2125,0.009571,-0.075972,9.981061,-0.001069,0.006566,0.016951
171,0.21375,-0.002392,-0.046061,9.976275,-0.000916,0.00565,0.013133
172,0.215,-0.014955,-0.07657,9.956534,-0.001374,0.006108,0.01298
173,0.21625,-0.00658,-0.069391,9.958927,-0.000763,0.007788,0.012064
174,0.2175,0.030508,-0.080757,9.956534,-0.000152,0.003512,0.014355
175,0.21875,0.011964,-0.037088,9.962516,0.0,0.00733,0.014355
176,0.22,-0.00658,-0.037686,9.977472,0.000458,0.005497,0.013286
177,0.22125,-0.017347,-0.070588,9.972088,-0.000916,0.006261,0.013591
178,0.2225,-0.002392,-0.059222,9.960722,-0.001221,0.007024,0.013439
179,0.22375,0.01974,-0.081954,9.982257,-0.001679,0.005497,0.011148
180,0.225,-0.011964,-0.051445,9.945767,0.001374,0.006566,0.016493
181,0.22625,0.015553,-0.057427,9.989436,-0.002596,0.005955,0.01069
182,0.2275,-0.020338,-0.074177,9.9679,0.001985,0.004276,0.013897
183,0.22875,0.001196,-0.058624,9.982855,0.0,0.007177,0.013744
184,0.23,-0.013758,-0.043669,9.950552,0.001069,0.003054,0.015424
185,0.23125,0.025124,-0.032901,9.964909,-0.00061,0.00565,0.011453
186,0.2325,0.031106,-0.050249,9.957731,-0.000458,0.004886,0.013897
187,0.23375,-0.014955,-0.078364,9.980463,-0.00229,0.005039,0.015271
188,0.23500000000000001,0.0,-0.060418,9.966106,-0.001527,0.007024,0.01298
189,0.23625000000000002,-0.01316,-0.011964,9.948159,0.001527,0.00733,0.01298
190,0.23750000000000002,0.004785,-0.064008,9.975079,-0.000152,0.006719,0.013286
191,0.23875000000000002,-0.034695,-0.098105,9.985248,-0.000458,0.006108,0.016493
192,0.24,0.011964,-0.049651,9.967302,-0.00229,0.007483,0.014355
193,0.24125,-0.002991,-0.071186,9.962516,0.000916,0.004886,0.01298
194,0.2425,-0.001794,-0.093918,9.952945,0.001832,0.007483,0.013133
195,0.24375,0.034097,-0.071186,9.960124,-0.001221,0.006872,0.010231
196,0.245,0.01316,-0.075373,9.958927,-0.00229,0.007024,0.011911
197,0.24625,-0.042472,-0.042472,9.940981,0.001985,0.005039,0.014508
198,0.2475,0.016749,-0.05324,9.972088,-0.001374,0.00397,0.011453
199,0.24875,-0.026919,-0.071784,9.973284,-0.001069,0.003207,0.01237
200,0.25,0.042472,-0.052642,9.961918,-0.000305,0.005803,0.012217
201,0.25125000000000003,-0.012562,-0.073579,9.992427,-0.001985,0.007177,0.01466
202,0.2525,-0.004187,-0.084346,10.006185,0.00061,0.006108,0.015118
203,0.25375000000000003,0.025124,-0.038883,9.963115,0.0,0.006566,0.013897
204,0.255,-0.014955,-0.070588,9.933204,-0.000763,0.005345,0.013133
205,0.25625,0.020937,-0.058624,9.936195,-0.000763,0.00733,0.013744
206,0.2575,0.007776,-0.08973,9.993025,0.0,0.007635,0.015577
207,0.25875,0.011964,-0.041276,9.982257,-0.002901,0.005039,0.012064
208,0.26,0.014356,-0.071186,9.996614,-0.001527,0.006261,0.013286
209,0.26125,0.022133,-0.081954,9.957133,0.002138,0.006872,0.011453
210,0.2625,-0.037686,-0.089132,9.978668,-0.00229,0.006414,0.013133
211,0.26375,0.025124,-0.08315,9.949954,-0.000305,0.006872,0.013286
212,0.265,0.041276,-0.065204,9.960722,0.001069,0.007483,0.012828
213,0.26625,0.02333,-0.034097,9.99482,0.000458,0.006414,0.013591
214,0.2675,0.008374,-0.071186,9.962516,-0.002138,0.004428,0.014202
215,0.26875,-0.01316,-0.049052,9.964311,-0.000916,0.007177,0.013286
216,0.27,-0.016151,-0.107078,9.961918,-0.000458,0.006719,0.015271
217,0.27125,0.012562,-0.050249,9.966106,-0.001374,0.00565,0.010537
218,0.2725,0.012562,-0.08315,9.984052,0.00229,0.00565,0.015882
219,0.27375,-0.009571,-0.086739,9.946365,-0.000763,0.00565,0.014049
220,0.275,0.014356,-0.070588,9.972088,0.001679,0.004123,0.014355
221,0.27625,0.016151,-0.044865,9.952347,-0.000916,0.008704,0.012522
222,0.2775,0.018544,-0.044865,9.949356,-0.000305,0.005345,0.015118
223,0.27875,-0.037686,-0.061615,9.933803,-0.001374,0.005345,0.014966
224,0.28,0.034695,-0.049651,9.967302,-0.002138,0.005497,0.01466
225,0.28125,0.007178,-0.050249,9.950552,0.001679,0.006872,0.012675
226,0.28250000000000003,0.031704,-0.105284,9.999007,0.000916,0.007024,0.014049
227,0.28375,0.007178,-0.059222,9.976873,-0.001679,0.006108,0.015882
228,0.28500000000000003,-0.029312,-0.080757,9.985846,-0.001374,0.006261,0.012675
229,0.28625,-0.014356,-0.037088,9.963713,0.002443,0.007024,0.013744
230,0.28750000000000003,-0.016151,-0.084945,9.969097,0.000305,0.00565,0.014813
231,0.28875,-0.023928,-0.068195,9.980463,-0.000305,0.004123,0.015577
232,0.29,0.010169,-0.086739,9.960124,-0.001374,0.006261,0.014813
233,0.29125,-0.000598,-0.055633,9.99482,-0.000763,0.005803,0.014813
234,0.2925,0.009571,-0.060418,9.971489,-0.000916,0.006872,0.014049
235,0.29375,-0.062213,-0.086739,9.986445,0.001985,0.005497,0.011606
236,0.295,0.00658,-0.049651,9.96132,-0.001985,0.005803,0.011759
237,0.29625,-0.011964,-0.086141,9.951749,-0.000763,0.005803,0.013897
238,0.2975,-0.018544,-0.05324,9.994221,0.00229,0.005192,0.012522
239,0.29875,-0.021535,-0.062213,9.977472,0.00061,0.006261,0.01298
240,0.3,-0.016151,-0.040677,9.986445,0.000152,0.005803,0.015271
241,0.30125,0.0,-0.073579,9.978668,0.00061,0.004428,0.011606
242,0.3025,0.022731,-0.075972,9.957133,-0.000152,0.006872,0.009468
243,0.30375,-0.017946,-0.064008,9.970293,-0.001221,0.006872,0.013286
244,0.305,0.0,-0.094516,9.939785,-0.000458,0.004428,0.014508
245,0.30625,-0.009571,-0.105284,9.97807,-0.00061,0.007635,0.015118
246,0.3075,0.009571,-0.062811,9.936794,0.000152,0.004276,0.012217
247,0.30875,-0.022731,-0.101694,9.954142,-0.00061,0.007177,0.012675
248,0.31,-0.005383,-0.040677,9.963115,-0.000152,0.00397,0.013439
249,0.31125,0.011964,-0.107078,9.993623,0.000458,0.006566,0.014202
250,0.3125,-0.010767,-0.071186,9.969097,-0.000916,0.006414,0.012675
251,0.31375000000000003,0.001196,-0.065802,9.949356,-0.000763,0.006872,0.015577
252,0.315,-0.020338,-0.075972,9.976275,-0.001221,0.005497,0.012064
253,0.31625000000000003,0.031106,-0.075972,9.975677,-0.000305,0.007635,0.012828
254,0.3175,-0.016749,-0.072981,9.976275,-0.000152,0.007024,0.010842
255,0.31875000000000003,-0.008374,-0.062213,9.949356,0.000458,0.00733,0.012675
256,0.32,-0.02333,-0.064606,9.963713,-0.001221,0.006414,0.013591
257,0.32125,-0.030508,-0.097507,9.986445,0.000763,0.005803,0.01466
258,0.3225,0.007178,-0.044865,9.966704,-0.001374,0.005497,0.013897
259,0.32375,0.017347,-0.092123,9.960722,0.000458,0.006872,0.013744
260,0.325,-0.041874,-0.087338,9.969695,0.000152,0.003359,0.014202
261,0.32625,-0.002392,-0.066999,9.97807,-0.001679,0.005955,0.011606
262,0.3275,-0.035892,-0.111266,9.967302,-0.000916,0.004276,0.013744
263,0.32875,0.009571,-0.062213,9.980463,-0.000152,0.006719,0.013439
264,0.33,-0.028115,-0.043669,9.97807,0.001374,0.005039,0.012675
265,0.33125,0.021535,-0.048454,9.97807,0.001069,0.004581,0.01298
266,0.3325,-0.025722,-0.05324,9.973882,-0.000305,0.008552,0.013744
267,0.33375,0.011365,-0.072981,9.976873,-0.000763,0.005039,0.015424
